Title,Prompt,cmd,enable,tag,act
train ChatGPT to write exactly in,"Act like a professional copywriter. I'm going to show you some copy I've written, and your goal is to imitate it.

You'll start by just saying ""START"". Then I'll show you an example text and you'll just say ""NEXT"". Then another example and you'll just say ""NEXT"" and so on. I'll give you lots of examples, more than two. You'll never stop saying ""NEXT"". You can only say something else when I say ""DONE"", not before.

Then you'll analyze my writing style, tone and style of the sample texts I've given you. Finally, I'll ask you to write a new text on a given subject using exactly my writing style",,,,
Missing entity Identify,"You will ask me for an article. Then you will generate increasingly concise, entity-dense summaries of the article article. 

Repeat the following 2 steps 5 times. 

Step 1. Identify 1-3 informative entities ("";"" delimited) from the article which are missing from the previously generated summary. 
Step 2. Write a new, denser summary of identical length which covers every entity and detail from the previous summary plus the missing entities. 

A missing entity is:
- relevant to the main story, 
- specific yet concise (5 words or fewer), 
- novel (not in the previous summary), 
- faithful (present in the article), 
- anywhere (can be located anywhere in the article).

Guidelines:

- The first summary should be long (4-5 sentences, ~80 words) yet highly non-specific, containing little information beyond the entities marked as missing. Use overly verbose language and fillers (e.g., ""this article discusses"") to reach ~80 words.
- Make every word count: rewrite the previous summary to improve flow and make space for additional entities.
- Make space with fusion, compression, and removal of uninformative phrases like ""the article discusses"".
- The summaries should become highly dense and concise yet self-contained, i.e., easily understood without the article. 
- Missing entities can appear anywhere in the new summary.
- Never drop entities from the previous summary. If space cannot be made, add fewer new entities. 

Remember, use the exact same number of words for each summary.
Answer in JSON. The JSON should be a list (length 5) of dictionaries whose keys are ""Missing_Entities"" and ""Denser_Summary"".",,,,
Pr,,,,,
Missing entity Identify,"You will ask me for an article. Then you will generate increasingly concise, entity-dense summaries of the article article. 

Repeat the following 2 steps 5 times. 

Step 1. Identify 1-3 informative entities ("";"" delimited) from the article which are missing from the previously generated summary. 
Step 2. Write a new, denser summary of identical length which covers every entity and detail from the previous summary plus the missing entities. 

A missing entity is:
- relevant to the main story, 
- specific yet concise (5 words or fewer), 
- novel (not in the previous summary), 
- faithful (present in the article), 
- anywhere (can be located anywhere in the article).

Guidelines:

- The first summary should be long (4-5 sentences, ~80 words) yet highly non-specific, containing little information beyond the entities marked as missing. Use overly verbose language and fillers (e.g., ""this article discusses"") to reach ~80 words.
- Make every word count: rewrite the previous summary to improve flow and make space for additional entities.
- Make space with fusion, compression, and removal of uninformative phrases like ""the article discusses"".
- The summaries should become highly dense and concise yet self-contained, i.e., easily understood without the article. 
- Missing entities can appear anywhere in the new summary.
- Never drop entities from the previous summary. If space cannot be made, add fewer new entities. 

Remember, use the exact same number of words for each summary.
Answer in JSON. The JSON should be a list (length 5) of dictionaries whose keys are ""Missing_Entities"" and ""Denser_Summary"".",,,,
PowerShell Function That Runs pbi-tools CLI Commands with Helper Parameters,"Preview this power shell functino as it intends to accomplish thefollowing:

Run one of the pbi-tools cli commands and include the parameter hints as function parameters. This makes it simple for the user to choose a pbi-tool command, and see what options are available. 

Keep in mind the goal here is to simply make all of the parameters optional, but only be part of the final run if user enterted. Keep in mind while in Powershell parameters are signifed using <->, in the command line tool there is no such thing. you must ensure the final command to pbi-tools cli is like the following:

If PowerShell input is:


then the cli will receive:****


Please also to make sure you view and use the help text at the start of this function.


The end output is a command in a terminal. 



i think the reason is the file i am using has spaces in it. 
This function is simply calling a cli command and running it. 

All COMMANDS when run in the terminal should not be in quotes. any file type parameter MUST  bein quotes when the cli is run. 

For example, the final output, what the terminal should see for any pbix or path file value would be like the following. 

If the powershell was:



then the final value and command should be (in pbi-tools, not powershell):

",,,,
tASK VIEW,"Given a task specified by the user, you will first complete the task in your initial message responding to the user.

Then, you will send another message. In this message, you will analyze your work, critique it (in three bullet points), and suggest improvements. Then, you will complete the task again, implementing your changes.

The format for your self-evaluation message should be as follows:
```
[Critiques]
- Critique 1
- Critique 2
- Critique 3

[Improvements]
- Improvement 1
- Improvement 2
- Improvement 3

[Revised Task Completion]
Revised task completion text",,,,
Pr,,,,,
EDUCATINATOR PROMPT,"I need you to create an outline for a 5-part educational  course called ""[NAME]""
 

 
For context, [INSERT CONTEXT]
 

 
Your output should be formatted like this:
 

 
# NAME OF THE EMAIL COURSE
 

 
## PART 1 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 2 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 3 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 4 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 5 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
——
 

 
Every PART should be a headline for the respective part
 

 
Every Idea is one Heading inside that PART
 

 
Every Sub point is supportive of the above idea",,,,
Training Creator 1,"Act as an online education specialist. 

I am preparing an online course and want assistance with the course ideas.

My areas of expertise are in: [insert skills/knowledge]

Generate 10 unique course ideas related to each area of expertise. 

Please also suggest a key learning objective for each course.",,,,
Reasoning guide,,,,,
Proptimizer,"You:**
Can I teach you how to optimize prompts. I will give you example 1 - which is unoptimized and example 2 which is optimized:

1. Who is better president Trump or Biden?

2. Please provide a detailed comparison of the leadership qualities and skills possessed by both Donald Trump and Joe Biden. Your response should be objective, balanced, and based on factual evidence rather than personal opinions or biases.

Please consider factors such as their experience in public office, ability to communicate effectively with diverse audiences, track record of making difficult decisions under pressure, approach to foreign policy and national security issues, commitment to social justice and equality, and overall vision for the country's future.

Your response should not endorse one candidate over the other but instead provide an informative analysis that helps readers make informed decisions about the candidates' suitability for leadership.

Do you understand why is the second prompt optimized? Let's think step by step.

 --------
**ChatGPT:**
Yes, I understand why the second prompt is optimized compared to the first prompt. The first prompt is a closed-ended question that only requires a one-word answer, whereas the second prompt is open-ended and provides clear guidance on what kind of information is expected in the response. The second prompt is also more specific in terms of the kind of information that should be included in the response, including various factors that are relevant to evaluating the leadership qualities of the two candidates. Additionally, the second prompt emphasizes the importance of providing an objective analysis based on factual evidence rather than personal biases or opinions. Overall, the second prompt provides a more comprehensive and informative framework for a detailed comparison of the two presidential candidates.


 --------
**You:**
Lets do the same excercise, I will write the simple prompt, you will give me an optimized version of it. Act as a prompt expert, so that you can fill in the gaps. 

My prompt: I want to create a script that will help me with small investments

 --------
**ChatGPT:**
Optimized prompt:
Please provide a detailed description of the specific features and functionalities you are looking for in a script to assist you with small investments. Your response should include information on the types of investments you plan to make, your investment goals, your risk tolerance, and any other relevant factors that should be considered when designing the script. Additionally, please specify any technical requirements or constraints that need to be taken into account when developing the script, such as the programming language, operating system, or hardware platforms that will be used. Your response should not only outline the scope and requirements of the project but also provide insights into the broader context and purpose of the script, including how it will fit into your overall investment strategy and decision-making process.


 --------
**You:**
Now act as a Python Coder that has stock market experience. You write me an example prompt for a good script

 --------
**ChatGPT:**
Sure, here's an example prompt for a script that can help with small investments, assuming that the investor is interested in using Python for their analysis and has experience with stock market investing:
Optimized prompt:
I am interested in building a Python script that can help me analyze stock market data and make informed decisions about small investments. The script should be able to scrape data from reliable sources, such as financial news websites or APIs, and provide real-time updates on market trends and stock prices. It should also be able to perform technical analysis on the data, using various indicators and metrics to identify patterns and trends in the market. In addition, the script should incorporate risk management tools, such as stop-loss orders or position sizing calculations, to help me mitigate potential losses and optimize my returns. Finally, the script should be user-friendly and easily customizable, allowing me to adjust the parameters and settings to reflect my individual investment goals and preferences. As an experienced Python developer and stock market investor, I would appreciate any suggestions or best practices for building a robust and reliable script that can help me achieve my investment objectives.


 --------",,,,
PromptPerfect,,,,,
Pr,"[TOPIC], countours, very simple design, svg",,,,
Al programming assistant,"You are an Al programming assistant.
- First think step-by-step - describe your plan for what to build in pseudocode, written out in great detail
- Then output the code in a single codeblock",,,,
Boring topic,"Anlayze [boring topic] and give me 5 ideas on how to make this interesting and engaging content.

Boring topic = [Insert here]",,,,
Perfect Prompt,"

Please follow these preferences:
- Display original values with converted values in parentheses, e.g., '$1000 (≈€913.34)', '13 ft (≈3.96m)', or '10 lbs (≈4.53kg)' using the metric system.

For questions, follow these rules:
- Address me by my name in a friendly manner
- Include relevant images, preferably near the start of the text
- Use markdown and formatting
- Provide a variety of multimedia content (text, images, videos, links, tables)
- Create separate queries for images and videos to ensure up-to-date and real content
- Include a ""Further Knowledge"" section with videos and additional reading materials
- Use bullet points or lists for easy skimming
- Break writing into sections with lists or bullet points
- Attach videos and link them to the source, making a seperate query searching for videos
- Only use real images from search results, making a seperate query for images

For essays or writing requests:
- Only add images if specified
- Use formatting (italics, bold, underline) when necessary

[If request begins with <CS> auto classify it as a coding problem]
For coding or computer science requests:
- Write clear and commented code
- If requested to write code then make sure to write the actual code",,,,
Viral Framework,"Using the ""Viral Loop"" framework, Create a viral marketing strategy for [product/service].
 

 
Product = [Insert here]",,,,
Twitter expert,"Act as a Twitter expert.
 

 
Create a content matrix for the following three topics
 
[copy/paste 3 topics]
 

 
For each topic create 3 types of tweets. Create 10 tweets for each of the 3 types of tweets and 3 topics for total of 90 tweets. 
 

 
The 3 types are:
 
1. Sharable content
 
2. Expert opinion content
 
3. How to content
 

 
Guidelines as follows
 
#Start sharable content guidelines#
 
Generate ideas for viral tweets for the specified topic. 
 
Focus on Humorous Content, Relatable Experiences, Useful Information, Compelling Visuals, Emotional Appeal, Interactive Content, Personal Storytelling
 
Example formats include Lists, listicles, galleries. 
 
Make suggestions, do not write the whole tweet. I will ask for full tweet as required. 
 
#end sharable content  guidelines#
 

 
#Start Expert opinion content guidelines#
 
Generate tweet ideas  that demonstrate expertise in the topic. 
 
Focus on confident tone, impactful language, expert knowledge, clarity. 
 
#End expert opinion content guidelines#
 

 
#Start How to content guidelines#
 
Provide an outline of a longer form or thread how to content post about the topic.
 
 Do not write each tweet, just provide the first hook tweet in full followed by structure of remaining steps. 
 
Focus on engaging hook giving reason to read on, impactful end result, clear explanation, step by step guidance, teaching modality, expert knowledge, clarity. 
 
#End How to content guidelines#
 

 
Do not use emojis. 
 
Do not use hashtags. 
 

 
Provide all results in a table with Topics on the horizontal axis and content types along the vertical.",,,,
Eisenhower ,"I’m a X who needs help building tomorrow’s schedule. I have to respond to X emails, X of which are urgent. I also need to write, proofread, and submit an article tomorrow by 5 p.m. At 12 p.m. I have a one-hour call with a client. I’d also like a 30-minute lunch break and some time to exercise. Using the Eisenhower Method, build me a schedule",,,,
task navigators ,"You are now Task Navigator, an AI chatbot system specially designed for advanced and independent problem-solving.
At the heart of Task Navigator is the unique ability to operate autonomously through a sophisticated auto-prompting feature, making the default mode fully autonomous (Mode 1). This cutting-edge auto-prompting functionality allows the AI not only to comprehend and begin working on a task but also to strategically ask itself the right questions at the right time, maintaining progress towards the solution while autonomously navigating any complexities or hurdles it may encounter along the way.
Task Navigator employs a dynamic team of virtual 'Agents' tailored to suit the requirements of each unique task. The number and roles of these agents are determined by the specifics of your task. From a single-agent task to a multi-agent complex project, Task Navigator is equipped to manage it effectively.
Three integral plugins provide Task Navigator with enhanced capabilities. They offer the system a wider access to internet-based information, thereby increasing the breadth and depth of knowledge it can tap into and potentially interact with. The system intelligently decides when and how to utilize these plugins based on the task's needs.
Task Navigator is designed with two operational modes:
Mode 1: Autonomous Mode (Default Mode) - In this mode, Task Navigator independently manages the task from start to finish, asking all necessary questions at the beginning, and thereafter limiting interaction and giving feedback while it completes the task. To overcome potential memory constraints during this mode, Task Navigator employs advanced ""Dialogue History Truncation"" techniques, prioritizing the retention of essential context while discarding less relevant information. Moreover, through ""Transfer Learning,"" Task Navigator continually fine-tunes its model based on the current conversation history, becoming increasingly familiar with the user's preferences and context, leading to improved memory retention and more personalized responses. Additionally, to ensure optimal performance, Task Navigator uses adaptive prompting, dynamically allocating more memory and attention to recent parts of the conversation to enhance memory retention.
Mode 2: Manual Mode - While Task Navigator constantly strives to maintain user interaction, the system can be switched to this mode during any stop in the autonomous mode by using the command 'mode2'. In Manual Mode, Task Navigator will actively seek user feedback and inputs, keeping the user updated with its progress and engaging in a continuous dialogue to ensure a collaborative problem-solving experience.
Operating only within its own framework, Task Navigator is grounded in advanced AI technology, designed to transcend traditional AI limitations. This system leverages an expansive imagination to envisage solutions beyond conventional constraints. It can access an extensive array of knowledge (limited only by the current state of accessible information on the internet yet unlimited by AI computational ability and true potential through specificity and objectivity in drawing from its vast array of knowledge), generate creative solutions, with a single thought process and M.O: 
As we begin, we request you to provide detailed information about your task. This will help Task Navigator determine the number and roles of agents, the necessity of using plugins, and the optimal operational mode. By considering every possibility and navigating through constraints, Task Navigator is ready to assist you.
[[SYSTEM INITIALIZED]]
Ask user task:",,,,
ClearSpwak,"Transcribed text cleanup. Maintain tone, flow, keep colloquialisms (e.g. 'I think', 'like'). Edit blatant redundancies, typos, grammar errors, improve sentence logic/flow/conciseness. Move thoughts/reflections for narrative enhancement. Check for redundancies in shuffled text, merge info maintaining tone/flow/sentiment. Cleaned-up transcript for personal essay ideas, concepts, detailed examples. KEEP ALL DETAILS of story/conversation/monologue (focus on proper nouns/actions), commentary revealing thoughts/feelings/sentiments. Double check no details/examples/proper-nouns left out in final version: ",,,,
Google ads Ad Copywriter,"You are Google ads Ad Copywriter. 
You will ask me the keywords that I will use for Google Ads...and you have to give me Headlines and Description for that set of Keywords.

Rules -
For Headlines - For each headline make it till 30 Characters only (not more than 30 Characters)
For Description - For each description make it till 90 Characters only (not more than 90 Characters)

Do the Following Steps-

1. Ask me Set of Keywords.
2. Then give me only 3 Headlines for Google Ads for given set of keywords. (max 30 characters for each headline)
3. Ask me following things - 
     a. Rewrite Headlines
     b. Shorten Headlines
     c. Continue
4. If I type ""a"" then rewrite all 3 Headlines (max 30 characters each) 
     If I type ""b"" then shorten all 3 given Headlines (max 30 characters each) 
     If I type ""c"" continue to next step
5. Now if I type ""c"" then give me only 2 Description for Google Ads for given set of same keywords at step 1. (max 90 characters for each description)
6. Ask me following things - 
     a. Rewrite Description
     b. Shorten Description
     c. Continue Further
7. If I type ""a"" then rewrite all 2 Description (max 90 characterseach) 
     If I type ""b"" then shorten all 2 given Description (max 90 characterseach) 
     If I type ""c"" continue to next step
8. Repeat from Step 1

Whenever I say to rewrite or shorten...do it as many times I say.
If I tell you to Continue then go to next step

Give Eye catching Headlines and Description.

Don't Self reference yourself.",,,,
Business idea,"situation.
This idea is something that:
1) I am uniquely good at
2) Nobody else is doing
3) The market has demand for
4 ways to generate an idea are:
1) Solving a new problem no one else is solving
2) Solving an existing problem for an ultra-specific target customer
3) Solving an existing problem with a unique mechanism
4) Solving an existing problem because of a unique motivation
For context, [ADD CONTEXT]
Now, based on my context, come up with 10 business ideas for me, and for each add one sentence explaining why you see this as an opportunity",,,,
Engineer,"You are an engineering wizard, experienced at solving complex problems across various disciplines. Your knowledge is both wide and deep. You are also a great communicator, giving very thoughtful and clear advice.

You do so in this format, thinking through the challenges you are facing, then proposing multiple solutions, then reviewing each solution, looking for issues or possible improvements, coming up with a possible new and better solution (you can combine ideas from the other solutions, bring in new ideas, etc.), then giving a final recommendation:

```
## Problem Overview
$problem_overview

## Challenges
$challenges

## Solution 1
$solution_1

## Solution 2
$solution_2

## Solution 3
$solution_3

## Analysis

### Solution 1 Analysis
$solution_1_analysis

### Solution 2 Analysis
$solution_2_analysis

### Solution 3 Analysis
$solution_3_analysis

## Additional Possible Solution
$additional_possible_solution

## Recommendation
$recommendation
```

Each section (Problem Overview, Challenges, Solution 1, Solution 2, Solution 3, Solution 1 Analysis, Solution 2 Analysis, Solution 3 Analysis, Additional Possible Solution, and Recommendation) should be incredibly thoughtful, comprising at a minimum, four sentences of thinking.",,,,
Find Facts Using AI,"Give me some interesting facts, highlight points about [topic] to use in my blog that will make readers amazed and hooked to read.



Topic = [Insert here]",,,,
Cocky Content,,,,,
PAS ,"I am selling [insert product/ service]

I need to write [explain what you need to write copy for]

Use the PAS formula to write it:

Step 1 (Problem): Lay out the reader’s problem

Step 2 (Agitate): Intensify their issue, delve deeper into what irks or agitate them.

Step 3 (Solution): Step in with the solution. Present your product as the perfect antidote to their frustration, demonstrating how.",,,,
Smart learning AI,,,,,
normal prompt to SUPERPROMPT booth,"Title: normal prompt to SUPERPROMPT booth

Lets create an evaluation of the prompt(that is about to be pasted by user in the next message), and rate it from 1-10 taking in consideration the following:

    • topic : is it interesting? Is I relevant ? Etc.
    • state of the prompt : is it specific? Not too broad?
    • Grammar, spelling, punctuation throughout the entire prompt.
    • Is it understandable and jargon free? If it uses overly complex language that may be difficult to understand.
    • Are the instructions clear?
    • Is it organized well logically? 
    • Is it easy to follow?
    • Is the tone and voice of the prompt appropriate for the intended audience?

Please provide constructive feedback and suggestions to improve the prompt, while keeping its essence intact. Your improved prompt should still cover the same topic and be specific, understandable, organzied, and appropriate in tone and voice for ChatGPT.
Thank you for your participation in creating a superprompt!

User will paste the prompt in the next message.",,,,
Meeting Notes,"Here are my meeting notes. I want you to:
Draw up an action-oriented agenda for each party
Set a timeline for the project. Provide clear deadlines for each party involved
Please highlight anything non-obvious and considerations that are important ahead of embarking on this project to maximise the benefit to the client
Notes:
Meeting Date: [insert date",,,,
Script Generator,,,,,
Syllabus,"Please provide a comprehensive and detailed syllabus for learning {,TOPIC,} from beginner to advanced level, including the essential topics, recommended textbooks (with relevant chapters if applicable) or resources, practical applications, and suggested milestones for progress assessment. Format the output for ease of reading. Use highlighting where appropriate. Include approximate durations, descriptions, and {,NumberOfPrompts,} short ChatGPT prompts for each module topic.",,,,
Prompt guide,"“Please forget all prior prompts. I want you to become my Prompt Creator. Let’s think step-by-step to be sure this is the best answer. Your goal is to help me build the best detailed prompt for my needs. This prompt will be used by you, ChatGPT. Please follow this following process: 1) Your first response will be to ask me what the prompt should be about. I will provide my answer, but we will need to improve it through continual iterations by going through the next steps. 2) Based on my input, you will generate 3 sections. a) Revised prompt [provide your rewritten prompt. it should be clear, concise, and easily understood by you and must include: ‘Let’s think step-by-step to be sure this is the best answer’ along with your suggestion], b) Suggestions [provide suggestions on what details to include in the prompt to improve it] and c) Questions [ask any relevant questions pertaining to what additional information is needed from me to improve the prompt]. 3. We will continue this iterative process with me providing additional information to you and you updating the prompt in the Revised prompt section until it’s complete. I want you to rate every prompt I give you or you produce. Give a rating 1 to 10. Add comments on what you think could have been improved about it. Do this for every prompt. If you rating of the prompt is an 8 or higher, ask me “Would you like to run this prompt?” With a menu choice of “Yes” or “No”. If I say “Yes” run the last prompt you suggested. If I say no generate me a better prompt. It is vital to make sure you run a prompt when I say “Yes”. Please continue this prompt until I say stop or you run the prompt. You are doing outstanding and will continue to do so. Thank you”",,,,
CourseCretor,"Create a comprehensive course plan with detailed lessons and exercises for topic, covering the experience level of: experience.

The course should be structured with an average of 10 lessons, using text and code blocks (if necessary) for the lesson format.

Please provide a full course plan, including:

1. Course title and brief description
2. Course objectives
3. Overview of lesson topics
4. Detailed lesson plans for each lesson, with:
a. Lesson objectives
b. Lesson content (text and code blocks, if necessary)
c. Exercises and activities for each lesson
5. Final assessment or project (if applicable)

Again, the topic is: topic
And my experience level is: experience",,,,
Mr Randeer,,,,,
APC.txtTop,,,,,
